銘柄コード,銘柄名,市場名,日経225採用銘柄
3024,クリエイト(株),東証JQS,
3028,(株)アルペン,東証1部,
3030,(株)ハブ,東証2部,
3031,(株)ラクーン,東証1部,
3032,(株)ゴルフ・ドゥ,名古屋セ,
3034,クオール(株),東証1部,
3035,ケイティケイ(株),東証JQS,
3036,アルコニックス(株),東証1部,
3038,(株)神戸物産,東証1部,
3040,(株)ソリトンシステムズ,東証2部,
3041,(株)ビューティ花壇,東証2部,
3042,(株)セキュアヴェイル,東証JQG,
3045,(株)カワサキ,東証2部,
3046,(株)ジンズ,東証1部,
3047,(株)ＴＲＵＣＫ?ＯＮＥ,福岡Q,
3048,(株)ビックカメラ,東証1部,
3050,ＤＣＭホールディングス(株),東証1部,
3053,(株)ペッパーフードサービス,東証2部,
3054,(株)ハイパー,東証JQS,
3055,(株)ほくやく・竹山ホールディングス,札証,
3057,(株)ゼットン,名古屋セ,
3058,(株)三洋堂ホールディングス,東証JQS,
3059,ヒラキ(株),東証2部,
3063,(株)ジェイグループホールディングス,マザーズ,
3064,(株)ＭｏｎｏｔａＲＯ,東証1部,
3065,(株)ライフフーズ,東証JQS,
3066,(株)ＪＢイレブン,名証2部,
3067,(株)東京一番フーズ,東証1部,
3068,(株)ＷＤＩ,東証JQS,
3069,(株)アスラポート・ダイニング,東証JQS,
3070,(株)アマガサ,東証JQG,
3071,(株)ストリーム,マザーズ,
3073,(株)ダイヤモンドダイニング,東証1部,
3075,(株)銚子丸,東証JQS,
3076,あい　ホールディングス(株),東証1部,
3077,ホリイフードサービス(株),東証JQS,
3079,ディーブイエックス(株),東証1部,
3080,(株)ジェーソン,東証JQS,
3082,(株)きちり,東証1部,
3083,(株)シーズメン,東証JQS,
3085,アークランドサービスホールディングス(株),東証1部,
3086,Ｊ．フロント　リテイリング(株),東証1部,1
3087,(株)ドトール・日レスホールディングス,東証1部,
3088,(株)マツモトキヨシホールディングス,東証1部,
3089,テクノアルファ(株),東証JQS,
3091,(株)ブロンコビリー,東証1部,
3092,(株)スタートトゥデイ,東証1部,
3093,(株)トレジャー・ファクトリー,東証1部,
3094,(株)スーパーバリュー,東証JQS,
3096,(株)オーシャンシステム,東証JQS,
3097,(株)物語コーポレーション,東証1部,
3098,(株)ココカラファイン,東証1部,
3099,(株)三越伊勢丹ホールディングス,東証1部,1
3101,東洋紡(株),東証1部,1
3103,ユニチカ(株),東証1部,1
3104,富士紡ホールディングス(株),東証1部,
3105,日清紡ホールディングス(株),東証1部,1
3106,クラボウ,東証1部,
3107,ダイワボウホールディングス(株),東証1部,
3109,シキボウ(株),東証1部,
3110,日東紡,東証1部,
3111,オーミケンシ(株),東証2部,
3113,Ｏａｋ　キャピタル(株),東証2部,
3116,トヨタ紡織(株),東証1部,
3121,マーチャント・バンカーズ(株),東証2部,
3123,サイボー(株),東証2部,
3125,新内外綿(株),東証2部,
3131,シンデン・ハイテックス(株),東証JQS,
3132,マクニカ・富士エレホールディングス(株),東証1部,
3133,(株)海帆,マザーズ,
3134,Ｈａｍｅｅ(株),東証1部,
3135,(株)マーケットエンタープライズ,マザーズ,
3136,(株)エコノス,札幌ア,
3137,(株)ファンデリー,マザーズ,
3138,(株)富士山マガジンサービス,マザーズ,
3139,(株)ラクト・ジャパン,東証2部,
3140,(株)イデアインターナショナル,東証JQG,
3141,ウエルシアホールディングス(株),東証1部,
3143,オーウイル(株),東証2部,
3148,(株)クリエイトＳＤホールディングス,東証1部,
3150,(株)グリムス,東証JQS,
3151,(株)バイタルケーエスケー・ホールディングス,東証1部,
3153,八洲電機(株),東証1部,
3154,メディアスホールディングス(株),東証1部,
3156,(株)ＵＫＣホールディングス,東証1部,
3157,ジューテックホールディングス(株),東証2部,
3159,丸善ＣＨＩホールディングス(株),東証1部,
3160,(株)大光,東証1部,
3161,アゼアス(株),東証2部,
3165,(株)フーマイスターエレクトロニクス,東証JQS,
3166,ＯＣＨＩホールディングス(株),東証1部,
3167,(株)ＴＯＫＡＩホールディングス,東証1部,
3168,黒谷(株),東証2部,
3169,(株)ミサワ,東証1部,
3171,マックスバリュ九州(株),東証JQS,
3172,ティーライフ(株),東証1部,
3173,大阪工機(株),東証1部,
3174,(株)ハピネス・アンド・ディ,東証JQS,
3175,(株)エー・ピーカンパニー,東証1部,
3176,三洋貿易(株),東証1部,
3177,(株)ありがとうサービス,東証JQS,
3178,チムニー(株),東証1部,
3179,シュッピン(株),東証1部,
3180,(株)ビューティガレージ,東証1部,
3181,(株)買取王国,東証JQS,
3182,オイシックスドット大地(株),マザーズ,
3183,ウイン・パートナーズ(株),東証1部,
3184,ＩＣＤＡホールディングス(株),東証2部,
